Date,SP500,iShares
7/26/2010,-0.001049357,0.001235077
7/27/2010,-0.006921965,-0.010572643
7/28/2010,-0.004158621,-0.008726724
7/29/2010,6.34999E-05,-0.003952803
7/30/2010,0.022022521,0.020743371
8/2/2010,-0.004796355,-0.004417671
8/3/2010,0.006051112,0.006922163
8/4/2010,-0.001268524,-0.00387802
8/5/2010,-0.003704039,-0.003362214
8/6/2010,0.005483064,0.00461651
8/9/2010,-0.005967405,-0.013078835
8/10/2010,-0.028178765,-0.026325147
8/11/2010,-0.005378749,-0.018760245
8/12/2010,-0.004023574,-0.005435819
8/13/2010,0.000120459,0.003580583
8/16/2010,0.012192216,0.010704357
8/17/2010,0.001482779,0.005574203
8/18/2010,-0.016935392,-0.012749632
8/19/2010,-0.003663029,0.002058921
8/20/2010,-0.004040307,-0.010085921
8/23/2010,-0.014512433,-0.016981214
8/24/2010,0.003289343,0.006142018
8/25/2010,-0.007684786,-0.010873619
8/26/2010,0.016586768,0.012150453
8/27/2010,-0.014719209,-0.012194943
8/30/2010,0.000390794,-0.005787168
8/31/2010,0.029504621,0.026193089
9/1/2010,0.009080836,0.008130096
9/2/2010,0.013219002,0.017629361
9/3/2010,-0.01147119,-0.007924741
9/7/2010,0.006438699,0.004644256
9/8/2010,0.00483229,0.002403793
9/9/2010,0.004863333,-0.000368872
9/10/2010,0.011130616,0.022697867
9/13/2010,-0.000713119,0.004330603
9/14/2010,0.003541138,0.005749253
9/15/2010,-0.000364344,0.006787996
9/16/2010,0.000826856,0.004080975
9/17/2010,0.015209797,0.014136677
9/20/2010,-0.002564021,-0.00156808
9/21/2010,-0.004825493,-0.005584777
9/22/2010,-0.00833134,-0.000421802
9/23/2010,0.021194393,0.021445146
9/24/2010,-0.005667433,-0.001376835
9/27/2010,0.004850386,0.002067951
9/28/2010,-0.002587759,0.000172167
9/29/2010,-0.003083722,-0.005329986
9/30/2010,0.004416438,-0.000691716
10/1/2010,-0.008034933,-0.010724792
10/4/2010,0.020861341,0.021682101
10/5/2010,-0.000672004,-0.007701411
10/6/2010,-0.001646518,0.002586968
10/7/2010,0.006122277,0.007913308
10/8/2010,0.000145837,0.000682704
10/11/2010,0.003818757,0.008016433
10/12/2010,0.00712102,0.009644686
10/13/2010,-0.003641386,-0.000838128
10/14/2010,0.002027485,0.02046308
10/15/2010,0.007243745,0.002629701
10/18/2010,-0.015877251,-0.016065472
10/19/2010,0.010524076,0.005664789
10/20/2010,0.001773909,0.000662756
10/21/2010,0.002389258,0.007946928
10/22/2010,0.002146972,0.003777982
10/25/2010,1.68857E-05,0.00032732
10/26/2010,-0.002690584,0.006706898
10/27/2010,0.001124849,0.000650118
10/28/2010,-0.000439287,0.001461426
10/29/2010,0.000946533,0.002756718
11/1/2010,0.007759284,0.009055578
11/2/2010,0.003678054,0.005127985
11/3/2010,0.019282863,0.015306207
11/4/2010,0.003922753,-0.000156894
11/5/2010,-0.002120958,0.00251307
11/8/2010,-0.0080523,-0.003603326
11/9/2010,0.004376081,0.001729446
11/10/2010,-0.004242127,-0.017579647
11/11/2010,-0.011808492,-0.013101245
11/12/2010,-0.001217436,-0.00453306
11/15/2010,-0.016205413,-0.018051522
11/16/2010,0.000212163,-0.000165683
11/17/2010,0.015357313,0.017889748
11/18/2010,0.002540373,0.003580105
11/19/2010,-0.001575366,0.008269874
11/22/2010,-0.014284033,-0.014956504
11/23/2010,0.014922968,0.017959219
11/24/2010,-0.007468563,-0.003528824
11/26/2010,-0.001378858,-0.006437761
11/29/2010,-0.006070217,-0.012797901
11/30/2010,0.021616955,0.021988862
12/1/2010,0.012818563,0.012684746
12/2/2010,0.002603237,0.004281093
12/3/2010,-0.001298239,0.00031566
12/6/2010,0.00051508,0.000631307
12/7/2010,0.00370176,0.008201783
12/8/2010,0.003842748,-0.000156423
12/9/2010,0.006001642,0.005789351
12/10/2010,4.83207E-05,-0.004200306
12/13/2010,0.000910956,-0.001093657
12/14/2010,-0.005122453,-0.003440736
12/15/2010,0.006185095,0.006434676
12/16/2010,0.000836804,0.002962607
12/17/2010,0.002548353,-0.001243904
12/20/2010,0.006030103,0.007783569
12/21/2010,0.003379555,-0.000402061
12/22/2010,-0.001644328,-0.002011165
12/23/2010,0.000612697,0.001084958
12/27/2010,0.000771324,0.000154714
12/28/2010,0.001009145,0.001083681
12/29/2010,-0.001508219,-0.001855571
12/30/2010,-0.000190789,-0.002479228
12/31/2010,0.011314828,0.011649372
1/3/2011,-0.001313062,0.002303231
1/4/2011,0.005007171,0.005668103
1/5/2011,-0.002122958,0.009291728
1/6/2011,-0.001844782,-0.003169527
1/7/2011,-0.001376327,0.004087866
1/10/2011,0.003725127,0.001357031
1/11/2011,0.00900758,0.008884412
1/12/2011,-0.001710746,-0.000149126
1/13/2011,0.007384542,0.009851798
1/14/2011,0.001376411,0.00206955
1/18/2011,-0.010115655,-0.007965865
1/19/2011,-0.001294959,-0.010557323
1/20/2011,0.002413546,-0.00556077
1/21/2011,0.00583628,0.013148101
1/24/2011,0.000263463,0.002983292
1/25/2011,0.004220907,0.005800084
1/26/2011,0.002244306,0.006801654
1/27/2011,-0.017852527,-0.023351817
1/28/2011,0.007662558,0.006466362
1/31/2011,0.016693599,0.017630597
2/1/2011,-0.002722518,0.002789793
2/2/2011,0.0023542,0.000584992
2/3/2011,0.002884262,0.007755982
2/4/2011,0.006240172,0.006969593
2/7/2011,0.004184752,0.00432533
2/8/2011,-0.002785765,-0.002727585
2/9/2011,0.000749493,-0.005758367
2/10/2011,0.005507371,0.00463344
2/11/2011,0.002384924,0.00245041
2/14/2011,-0.003234911,-0.005032669
2/15/2011,0.006257435,0.007659108
2/16/2011,0.003075692,0.001577552
2/17/2011,0.001924723,-0.000429956
2/18/2011,-0.020528566,-0.027502692
2/22/2011,-0.006111961,-0.013993752
2/23/2011,-0.000994377,0.004183275
2/24/2011,0.010550516,0.0147278
2/25/2011,0.005561086,0.001465847
2/28/2011,-0.015739678,-0.018444928
3/1/2011,0.001615201,0.005368896
3/2/2011,0.017219002,0.017801377
3/3/2011,-0.007378038,-0.006413123
3/4/2011,-0.008341232,-0.015549331
3/7/2011,0.008922734,0.006258462
3/8/2011,-0.001361703,-0.007404106
3/9/2011,-0.018870952,-0.020289428
3/10/2011,0.007080514,0.006243353
3/11/2011,-0.006049325,-0.004540121
3/14/2011,-0.011200349,-0.01489801
3/15/2011,-0.019494949,-0.025463008
3/16/2011,0.013398229,0.007601142
3/17/2011,0.004310202,0.001257173
3/18/2011,0.014985846,0.019777028
3/21/2011,-0.003550567,-0.001847165
3/22/2011,0.002913979,0.005088826
3/23/2011,0.009340748,0.01656965
3/24/2011,0.003161137,0.003096885
3/25/2011,-0.002747837,-0.005421708
3/28/2011,0.007060045,0.006662607
3/29/2011,0.006684707,0.001955379
3/30/2011,-0.001829502,-0.001051014
3/31/2011,0.004962988,-0.00285516
4/1/2011,0.00034521,-0.00617948
4/4/2011,-0.000180055,-0.000606444
4/5/2011,0.002183677,0.00698002
4/6/2011,-0.001520006,-0.000602606
4/7/2011,-0.004004444,-0.005428118
4/8/2011,-0.00279338,-0.002880706
4/11/2011,-0.007776699,-0.008514501
4/12/2011,0.000190236,0.007207459
4/13/2011,8.36771E-05,-0.002436067
4/14/2011,0.003925413,-0.003968042
4/15/2011,-0.011017852,-0.007661862
4/18/2011,0.005731171,0.003242667
4/19/2011,0.013514947,0.025704133
4/20/2011,0.005276782,0.008553757
4/21/2011,-0.00159267,0.002677815
4/25/2011,0.008979584,0.007419632
4/26/2011,0.006249847,0.004271946
4/27/2011,0.003555424,0.000439756
